order_id,order_date,product,quantity,unit_price,amount,status
3200,2026-02-05,Monitor,2,313.54,627.08,refunded
3201,2026-01-13,Stand,1,24.17,24.17,refunded
3202,2026-01-07,Cable,3,120.26,360.78,refunded
3203,2026-04-12,Mouse,5,60.57,302.85,refunded
3204,2026-06-15,Cable,2,34.18,68.36,refunded
3205,2026-02-08,Webcam,4,173.03,692.12,refunded
3206,2026-01-25,Headset,3,278.89,836.67,refunded
3207,2026-05-20,Keyboard,1,76.6,76.6,refunded
3208,2026-01-20,Monitor,2,199.34,398.68,refunded
3209,2026-02-17,Cable,4,176.93,707.72,refunded
3210,2026-01-23,Stand,3,111.09,333.27,refunded
3211,2026-01-22,Keyboard,5,218.8,1094.0,refunded
3212,2026-04-28,Mouse,5,242.41,1212.05,refunded
3213,2026-05-26,Mouse,3,131.71,395.13,refunded
3214,2026-05-15,Cable,4,112.04,448.16,refunded
3215,2026-03-08,Dock,3,171.2,513.6,refunded
3216,2026-04-28,Keyboard,5,63.92,319.6,refunded
3217,2026-02-28,Monitor,3,197.28,591.84,refunded
3218,2026-02-09,Dock,4,15.18,60.72,refunded
3219,2026-05-23,Webcam,5,50.67,253.35,refunded
3220,2026-05-15,Keyboard,1,221.4,221.4,refunded
3221,2026-04-19,Stand,2,91.22,182.44,refunded
3222,2026-01-10,Keyboard,3,266.17,798.51,refunded
3223,2026-06-08,Stand,4,277.43,1109.72,refunded
3224,2026-05-04,Webcam,3,149.2,447.6,refunded
3225,2026-03-26,Webcam,5,38.36,191.8,refunded
3226,2026-06-12,Headset,2,167.74,335.48,refunded
3227,2026-01-12,Cable,5,259.76,1298.8,refunded
3228,2026-02-07,Monitor,4,134.44,537.76,refunded
3229,2026-01-24,Dock,2,308.56,617.12,refunded
3230,2026-03-20,Dock,1,180.69,180.69,refunded
3231,2026-05-06,Monitor,2,151.02,302.04,refunded
3232,2026-05-06,Monitor,3,261.9,785.7,refunded
3233,2026-02-26,Headset,5,49.94,249.7,refunded
3234,2026-03-14,Dock,2,17.45,34.9,refunded
3235,2026-04-16,Webcam,1,251.54,251.54,refunded
3236,2026-01-19,Monitor,3,214.75,644.25,refunded
3237,2026-02-05,Webcam,4,119.83,479.32,refunded
3238,2026-06-21,Webcam,3,93.65,280.95,refunded
3239,2026-05-17,Monitor,1,8.12,8.12,refunded
3240,2026-05-06,Monitor,1,297.68,297.68,refunded
3241,2026-01-07,Monitor,1,101.71,101.71,refunded
3242,2026-05-10,Headset,1,43.38,43.38,refunded
3243,2026-04-12,Keyboard,3,21.22,63.66,refunded
3244,2026-03-19,Headset,4,155.13,620.52,refunded
3245,2026-05-12,Cable,2,14.4,28.8,refunded
3246,2026-04-22,Monitor,3,303.95,911.85,refunded
3247,2026-01-15,Monitor,1,8.93,8.93,refunded
3248,2026-03-11,Cable,3,9.01,27.03,refunded
3249,2026-02-08,Keyboard,4,219.37,877.48,refunded
3250,2026-01-25,Cable,4,190.02,760.08,pending
3251,2026-05-08,Monitor,4,38.7,154.8,refunded
3252,2026-02-11,Monitor,1,63.6,63.6,refunded
3253,2026-03-08,Cable,5,242.98,1214.9,pending
3254,2026-05-10,Cable,2,39.27,78.54,paid
3255,2026-06-02,Dock,4,50.97,203.88,cancelled
3256,2026-03-06,Mouse,4,265.61,1062.44,paid
3257,2026-03-27,Headset,2,299.07,598.14,paid
3258,2026-04-18,Webcam,1,189.19,189.19,paid
3259,2026-04-03,Headset,4,186.63,746.52,cancelled
3260,2026-04-05,Dock,5,314.58,1572.9,pending
3261,2026-05-16,Monitor,2,42.86,85.72,paid
3262,2026-04-22,Monitor,2,262.98,525.96,paid
3263,2026-02-16,Cable,5,92.53,462.65,cancelled
3264,2026-01-25,Webcam,5,226.0,1130.0,pending
3265,2026-01-23,Cable,3,38.97,116.91,paid
3266,2026-06-22,Headset,5,215.78,1078.9,paid
3267,2026-03-02,Cable,5,251.79,1258.95,refunded
3268,2026-01-13,Cable,3,291.49,874.47,paid
3269,2026-03-26,Mouse,1,118.71,118.71,cancelled
3270,2026-06-01,Monitor,2,67.1,134.2,refunded
3271,2026-06-28,Webcam,4,77.88,311.52,paid
3272,2026-02-08,Monitor,1,47.31,47.31,refunded
3273,2026-05-15,Dock,4,100.13,400.52,cancelled
3274,2026-04-21,Webcam,2,24.14,48.28,paid
3275,2026-05-14,Stand,3,139.13,417.39,paid
3276,2026-06-28,Mouse,1,67.42,67.42,paid
3277,2026-05-24,Mouse,4,122.44,489.76,paid
3278,2026-04-17,Dock,2,119.66,239.32,paid
3279,2026-05-08,Dock,2,98.78,197.56,paid
3280,2026-01-12,Mouse,4,274.22,1096.88,paid
3281,2026-03-03,Cable,1,73.86,73.86,paid
3282,2026-04-12,Headset,2,294.57,589.14,paid
3283,2026-04-14,Cable,3,305.39,916.17,paid
3284,2026-06-06,Monitor,3,253.05,759.15,paid
3285,2026-05-14,Dock,4,34.28,137.12,refunded
3286,2026-01-08,Cable,3,107.92,323.76,paid
3287,2026-04-19,Cable,5,220.16,1100.8,paid
3288,2026-02-22,Mouse,3,144.6,433.8,cancelled
3289,2026-03-28,Dock,3,291.0,873.0,refunded
3290,2026-06-10,Monitor,5,50.69,253.45,cancelled
3291,2026-05-26,Webcam,1,282.54,282.54,refunded
3292,2026-05-04,Dock,4,58.77,235.08,refunded
3293,2026-06-10,Monitor,4,61.29,245.16,pending
3294,2026-06-06,Keyboard,5,27.34,136.7,pending
